PreCoordinated,Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID,SNOMED-CT Code,SNOMEDCT Term,Qualifiers,Notes,Summary,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L2_L,L_L2_Ax_LN,Level 2 Axillary Lymph Node Left,276005,68171009,Axillary lymph node structure (body structure),"Level 2, left",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L2_R,R_L2_Ax_LN,Level 2 Axillary Lymph Node Right,276003,68171009,Axillary lymph node structure (body structure),"Level 2, Right",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L3_L,L_L3_Ax_LN,Level 3 Axillary Lymph Node Left,276009,68171009,Axillary lymph node structure (body structure),"Level 3, Left",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,10,LN_Ax_L3_R,R_L3_Ax_LN,Level 3 Axillary Lymph Node Right,276007,68171009,Axillary lymph node structure (body structure),"Level 3, Right",,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Lateral_L,L_Lateral_Ax_LN,Axillary lymphatic chain - Lateral Left,73256,33770006,Structure of lateral axillary lymph node (body structure),Left,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Lateral_R,R_Lateral_Ax_LN,Axillary lymphatic chain - Lateral Right,73255,33770006,Structure of lateral axillary lymph node (body structure),Right,,,,,,,,
,Anatomic,Lymph Node,Axillary,Thorax,14,LN_Ax_Laterals,Laterals_Ax_LN,pair of Lungs / lateral axillary lymph nodes,233458,33770006,Structure of lateral axillary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,16,LN_Ax_Pectoral_L,L_Pectoral_Ax_LN,Axillary lymphatic chain - Pectoral Left,73253,69691007,Structure of pectoral axillary lymph node (body structure),Left,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,16,LN_Ax_Pectoral_R,R_Pectoral_Ax_LN,Axillary lymphatic chain - Pectoral Right,73252,69691007,Structure of pectoral axillary lymph node (body structure),Right,,,,,,,,
,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Pectorals,Pectorals_Ax_LN,Set of pectoral axillary lymphatic vessels,233446,69691007,Structure of pectoral axillary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,7,LN_Ax_R,R_Ax_LN,Axillary lymphatic chain Right,73249,68171009,Axillary lymph node structure (body structure),Right,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Subscap_L,L_Subscap_Ax_LN,Axillary lymphatic chain - Subscapular Left,73259,12196003,Structure of subscapular axillary lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,Axillary,Thorax,15,LN_Ax_Subscap_R,R_Subscap_Ax_LN,Axillary lymphatic chain - Subscapular Right,73258,12196003,Structure of subscapular axillary lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,Axillary,Thorax,14,LN_Ax_Subscaps,Subscaps_Ax_LN,Set of subscapular axillary lymphatic vessels,233470,12196003,Structure of subscapular axillary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Brachioceph_L,L_Brachioceph_LN,Lymph nodes of thorax - Brachiocephalic Left,5946,196821008,Structure of innominate lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Brachioceph_R,R_Brachioceph_LN,Lymph nodes of thorax - Brachiocephalic Right,5945,196821008,Structure of innominate lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,15,LN_Brachiocephs,Brachiocephs_LN,Lymph nodes of thorax - Brachiocephalic,5944,196821008,Structure of innominate lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,15,LN_Bronchpulm_L,L_Bronchpulm_LN,Lymph nodes of thorax - Bronchopulmonary Left,5967,279816002,Bronchopulmonary lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,15,LN_Bronchpulm_R,R_Bronchpulm_LN,Lymph nodes of thorax - Bronchopulmonary Right,5966,279816002,Bronchopulmonary lymph node group (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,14,LN_Bronchpulms,Bronchpulms_LN,Lymph nodes of thorax - Bronchopulmonary,5965,279816002,Bronchopulmonary lymph node group (body structure),,,,,,,,,
,Anatomic,Lymph Node,,Thorax,16,LN_Diaphragmatic,Diaphragmatic_LN,Lymph nodes of thorax - Diaphragmatic,12773,196751009,Structure of diaphragmatic lymph node (body structure),,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,12,LN_Iliac_Ext,Ext_Iliac_LN,Lymph nodes of pelvis - External iliac,,65349008,Structure of external iliac lymph node (body structure),,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,12,LN_Iliac_Int,int_Iliac_LN,Lymph nodes of pelvis -  Internal iliac,,245357003,Structure of internal iliac lymph node (body structure) |,,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,8,LN_Iliac,Iliac_LN,Lymph nodes of pelvis -  common iliac,,84219008,Structure of iliac lymph node (body structure) |,,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Iliac_Ext_L,L_Ext_Iliac_LN,Lymph nodes of pelvis - external iliac Left,229177,65349008,Structure of external iliac lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Iliac_Ext_R,R_Ext_Iliac_LN,Lymph nodes of pelvis - external iliac Right,229177,65349008,Structure of external iliac lymph node (body structure),right,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Iliac_Int_L,L_Int_Iliac_LN,Lymph nodes of pelvis - internal iliac Left,224275,245299000,Internal iliac lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,10,LN_Iliac_L,L_Iliac_LN,Lymph nodes of pelvis - common iliac Left,224269,245299000,Internal iliac lymph node group (body structure),right,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,10,LN_Iliac_R,R_Iliac_LN,Lymph nodes of pelvis - common iliac Right,224269,84219008,Structure of iliac lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Breast,Thorax,8,LN_IMN_L,L_IMN_LN,,5934,245282001,Internal mammary lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,Breast,Thorax,8,LN_IMN_R,R_IMN_LN,,5933,245282001,Internal mammary lymph node group (body structure),right,,,,,,,,
,Anatomic,Lymph Node,Breast,Thorax,7,LN_IMNs,IMNs_LN,Lymph nodes IMN,5849,245282001,Internal mammary lymph node group (body structure),,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,13,LN_Inguinofem,Inguinofem_LN,Lymph nodes of pelvis - inguinofemoral,236337,279763008,Inguinofemoral lymph node group (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,15,LN_Inguinofem_L,L_Inguinofem_LN,Lymph nodes of pelvis - inguinofemoral left,236341,279763008,Inguinofemoral lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,15,LN_Inguinofem_R,R_Inguinofem_LN,Lymph nodes of pelvis - inguinofemoral right,236339,279763008,Inguinofemoral lymph node group (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,15,LN_Intercostals,Intercostals_LN,Lymph nodes of thorax - Intercostal,5932,64038003,Intercostal lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Unspecified,Body,4,LN_L,L_LN,Lymph Node Left,,59441001,Structure of lymph node (body structure),left,,,,,,,,
,Anatomic,Lymph Node,,Thorax,16,LN_Ligamentarter,Ligamentarter_LN,Lymph nodes of thorax - Ligamentum arteriosum,74033,127938006,Lymph node of aortopulmonary window (body structure) ,,127938006 | Lymph node of aortopulmonary window (body structure) | (has synonym definition  to Lymph node of AJCC Station 5) - would like to double check with Chuck,Discuss with Chuck Mayo,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_lliac_Int_R,R_Int_Iliac_LN,Lymph nodes of pelvis - internal iliac Right,224275,245299000,Internal iliac lymph node group (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,15,LN_Mediastinals,Mediastinals_LN,Lymph nodes of thorax - Mediastinal,12774,62683002,Mediastinal lymph node structure (body structure),,,,,,,,,
,Anatomic,Lymph Node,Neck Nodes,Head and Neck,7,LN_Neck,Neck_LN,Neck Lymph Node,,81105003,Cervical lymph node structure (body structure),Use Neck Levels  Qualifiers (I-X),,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IA_L,L_IA_Neck_LN,Level IA (Submental) neck node Left,235616,81105003,Cervical lymph node structure (body structure),"Left, Level IA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IA_R,R_IA_Neck_LN,Level IA (Submental) neck node Right,235614,81105003,Cervical lymph node structure (body structure),"Right, Level IA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IB_L,L_IB_Neck_LN,Level IB (Submandibular) neck node Left,232676,81105003,Cervical lymph node structure (body structure),Left Level IB,,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IB_R,R_IB_Neck_LN,Level IB (Submandibular) neck node Right,232673,81105003,Cervical lymph node structure (body structure),"Right, Level IB",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_II_L,L_II_Neck_LN,Level IIA & IIB (Upper Jugular) neck nodes Left,265660,81105003,Cervical lymph node structure (body structure),"Left, Level II",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_II_R,R_II_Neck_LN,Level IIA & IIB (Upper Jugular) neck nodes Left,265658,81105003,Cervical lymph node structure (body structure),"Right, Level II",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_IIA_L,L_IIA_Neck_LN,Level IIA (Upper Jugular) neck node Left,241975,81105003,Cervical lymph node structure (body structure),"Left , Level Iia",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_IIA_R,R_IIA_Neck_LN,Level IIA (Upper Jugular) neck node Right,241973,81105003,Cervical lymph node structure (body structure),"Right, Level Iia",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_IIB_L,L_IIB_Neck_LN,Level IIB (Upper Jugular) neck node Left,241979,81105003,Cervical lymph node structure (body structure),"Left, Level Iib",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_IIB_R,R_IIB_Neck_LN,Level IIB (Upper Jugular) neck node Right,241977,81105003,Cervical lymph node structure (body structure),"Right, Level Iib",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_III_L,L_III_Neck_LN,Level III (Middle Jugular) neck node Left,241953,81105003,Cervical lymph node structure (body structure),"Left, Level III",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_III_R,R_III_Neck_LN,Level III (Middle Jugular) neck node Right,241951,81105003,Cervical lymph node structure (body structure),"Right, Level III",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IV_L,L_IV_Neck_LN,Level IV neck (Lower Jugular) node Left,241959,81105003,Cervical lymph node structure (body structure),"Left, Level IV",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_IV_R,R_IV_Neck_LN,Level IV (Lower Jugular) neck node Right,241957,81105003,Cervical lymph node structure (body structure),"Right, Level IV",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,11,LN_Neck_V_L,L_V_Neck_LN,"Level VA, VB and VC (Posterior Triangle) neck nodes Left",241965,81105003,Cervical lymph node structure (body structure),"Left, Level V",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,11,LN_Neck_V_R,R_V_Neck_LN,"Level VA, VB and VC (Posterior Triangle) neck nodes Right",241963,81105003,Cervical lymph node structure (body structure),"Right, Level V",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VA_L,L_VA_Neck_LN,Level VA (Posterior Triangle) neck node Left,265629,81105003,Cervical lymph node structure (body structure),"Left, Level VA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VA_R,R_VA_Neck_LN,Level VA (Posterior Triangle) neck node Right,265626,81105003,Cervical lymph node structure (body structure),"Right, Level VA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VB_L,L_VB_Neck_LN,Level VB (Posterior Triangle) neck node Left,,81105003,Cervical lymph node structure (body structure),"Left, Level VB",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VB_R,R_VB_Neck_LN,Level VB (Posterior Triangle) neck node Right,,81105003,Cervical lymph node structure (body structure),"Right, Level VB",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VC_L,L_VC_Neck_LN,Level VC (Posterior Triangle) neck node Left,232721,81105003,Cervical lymph node structure (body structure),"Left, Level VC",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VC_R,R_VC_Neck_LN,Level VC (Posterior Triangle) neck node Right,232719,81105003,Cervical lymph node structure (body structure),"Right, Level VC",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VI_L,L_VI_Neck_LN,Level VI (Anterior Triangle) neck node Left,241971,81105003,Cervical lymph node structure (body structure),"Left, Level VI",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,12,LN_Neck_VI_R,R_VI_Neck_LN,Level VI (Anterior Triangle) neck node Right,241969,81105003,Cervical lymph node structure (body structure),"Right, Level VI",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_VII_L,L_VII_Neck_LN,Level VII (Upper Mediastinal) neck node Left,,81105003,Cervical lymph node structure (body structure),"Left, Level VII",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,13,LN_Neck_VII_R,R_VII_Neck_LN,Level VII (Upper Mediastinal) neck node Right,,81105003,Cervical lymph node structure (body structure),"Right, Level VIIa",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,14,LN_Neck_VIIA_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level VIIa",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,14,LN_Neck_VIIA_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level VII",,"Not in published TG263 Anatomy Structures, but understand these are being added. ",,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_VIII_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level VIII",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_VIII_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level VIII",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_IX_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level IX",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_IX_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level IX",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_X_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level X",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_X_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level X",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_XA_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level XA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_XA_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level XA",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_XB_R,,,,81105003,Cervical lymph node structure (body structure),"Right, Level XB",,,,,,,,
x,Anatomic,Lymph Node,Neck Nodes,Head and Neck,,LN_Neck_XB_L,,,,81105003,Cervical lymph node structure (body structure),"Left, Level XB",,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Obturator_L,L_Obturator_LN,Lymph nodes of pelvis - obturator Left,16676,36086000,Structure of obturator lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Obturator_R,R_Obturator_LN,Lymph nodes of pelvis - obturator Right,16676,36086000,Structure of obturator lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,13,LN_Paraaortic,Paraaortic_LN,Lymph nodes of abdomen- para-aortic,223899,35783009,Structure of aortic lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Paramammary_L,L_Paramammary_LN,Lymph nodes of thorax - Paramammary Left,232600,368550005,Structure of paramammary lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Paramammary_R,R_Paramammary_LN,Lymph nodes of thorax - Paramammary Right,232598,368550005,Structure of paramammary lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,15,LN_Paramammarys,Paramammarys_LN,Lymph nodes of thorax - Paramammary,44313,368550005,Structure of paramammary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Parasternal_L,L_Parasternal_LN,Lymph nodes of thorax - Parasternal Left,5934,82365008,Structure of parasternal lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Parasternal_R,R_Parasternal_LN,Lymph nodes of thorax - Parasternal Right,5933,82365008,Structure of parasternal lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,15,LN_Parasternals,Parasternals_LN,Lymph nodes of thorax - Parasternal,5849,82365008,Structure of parasternal lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,11,LN_Pelvic_L,L_Pelvic_LN,Pelvic Lymph Nodes Left,,245294005,Pelvic lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,11,LN_Pelvic_R,R_Pelvic_LN,Pelvic Lymph Nodes Right,,245294005,Pelvic lymph node group (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Pelvis,10,LN_Pelvics,Pelvics_LN,Pelvic Lymph Nodes,,245294005,Pelvic lymph node group (body structure),,,,,,,,,
,Anatomic,Lymph Node,Porta hepatis,Abdomen,15,LN_Portahepatis,Portahepatis_LN,Porta hepatis,15758,245288002,Portahepatis lymph node group (body structure),,,,,,,,,
,Anatomic,Nose,Nasal,Head and Neck,4,Nose,Nose,Nose,46472,45206002,Nasal structure (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Presacral_L,L_Presacral_LN,Lymph nodes of pelvis - presacral Left,234280,USCRS-33346,Presacral lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Pelvis,14,LN_Presacral_R,R_Presacral_LN,Lymph nodes of pelvis - presacral Right,234280,USCRS-33346,Presacral lymph node group (body structure),right,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,14,LN_Pulmonary_L,L_Pulmonary_LN,Lymph nodes of thorax - Pulmonary Left,5970,196662004,Structure of intrapulmonary lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,14,LN_Pulmonary_R,R_Pulmonary_LN,Lymph nodes of thorax - Pulmonary Right,5969,196662004,Structure of intrapulmonary lymph node (body structure),right,,,,,,,,
,Anatomic,Lymph Node,,Thorax,13,LN_Pulmonarys,Pulmonarys_LN,Lymph nodes of thorax - Pulmonary,5968,196662004,Structure of intrapulmonary lymph node (body structure),,,,,,,,,
x,Anatomic,Lymph Node,Unspecified,Body,4,LN_R,R_LN,Lymph Node Right,,59441001,Structure of lymph node (body structure),right,,,,,,,,
x,Anatomic,Lymph Node,Breast,Body,10,LN_Sclav_L,L_Sclav_LN,Supraclavicular Lymph Node Left,232719,76838003,Structure of supraclavicular lymph node (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,Breast,Body,10,LN_Sclav_R,R_Sclav_LN,Supraclavicular Lymph Node Right,232721,76838003,Structure of supraclavicular lymph node (body structure),right,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,15,LN_Supmammary_L,L_Supmammary_LN,Lymph nodes of thorax - Supramammary Left,232604,4719002,DO NOT INCLUDE 4719002 - Structure of lymph node of thorax (body structure),"left, supramammary",CodexTRG Meeting 10/5/21 - exclude,,,,,,,
x,Anatomic,Lymph Node,,Thorax,15,LN_Supmammary_R,R_Supmammary_LN,Lymph nodes of thorax - Supramammary Right,232602,4719002,DO NOT INCLUDE 4719002 - Structure of lymph node of thorax (body structure),"right, supramammary",CodexTRG Meeting 10/5/21 - exclude,,,,,,,
,Anatomic,Lymph Node,,Thorax,14,LN_Supmammarys,Supmammarys_LN,Lymph nodes of thorax - Supramammary,12785,4719002,DO NOT INCLUDE 4719002 - Structure of lymph node of thorax (body structure),supramammary,CodexTRG Meeting 10/5/21 - exclude,,,,,,,
,Anatomic,Lymph Node,,Thorax,14,LN_Trachbrnchs,Trachbronchs_LN,Lymph nodes of thorax - Tracheobronchial,5950,245283006,Tracheobronchial lymph node group (body structure),,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Trachbrnchs_L,L_Trachbronchs_LN,Lymph nodes of thorax - Tracheobronchial Left,5952,245283006,Tracheobronchial lymph node group (body structure),left,,,,,,,,
x,Anatomic,Lymph Node,,Thorax,16,LN_Trachbrnchs_R,R_Trachbronchs_LN,Lymph nodes of thorax - Tracheobronchial Right,5951,245283006,Tracheobronchial lymph node group (body structure),right,,,,,,,,
,Anatomic,Nerve,,Body,14,Nrv_Peripheral,Peripheral_Nrv,Peripheral Nerve,,84782009,Peripheral nerve structure (body structure),,,,,,,,,
x,Anatomic,Brain,Lobe,Head and Neck,14,Lobe_Frontal_L,L_Frontal_Lobe,Frontal Lobe Left,72970,83251001,Frontal lobe structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Lobe,Head and Neck,14,Lobe_Frontal_R,R_Frontal_Lobe,Frontal Lobe Right,72969,83251001,Frontal lobe structure (body structure),right,,,,,,,,
,Anatomic,Nerve,,Body,8,Nrv_Root,Root_Nrv,Nerve Root,5981,40958000,Nerve root structure (body structure),,,,,,,,,
x,Anatomic,Brain,Occipital Lobe,Head and Neck,16,Lobe_Occipital_L,L_Occipital_Lobe,Occipital Lobe Left,72976,31065004,Occipital lobe structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Occipital Lobe,Head and Neck,16,Lobe_Occipital_R,R_Occipital_Lobe,Occipital Lobe Right,72975,31065004,Occipital lobe structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Optic,Head and Neck,11,OpticChiasm,OpticChiasm,Optic chiasm,62045,244453006,Structure of optic chiasma (body structure),,,,,,,,,
x,Anatomic,Brain,Lobe,Head and Neck,15,Lobe_Parietal_L,L_Parietal_Lobe,Parietal Lobe Left,72974,16630005,Parietal lobe structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Lobe,Head and Neck,15,Lobe_Parietal_R,R_Parietal_Lobe,Parietal Lobe Right,72973,16630005,Parietal lobe structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Optic,Head and Neck,8,OpticNrv,OpticNrv,Optic nerve,50863,18234004,Optic nerve structure (body structure),,,,,,,,,
x,Anatomic,Brain,Temporal,Head and Neck,15,Lobe_Temporal_L,L_Temporal_Lobe,Temporal Lobe Left,72972,78277001,Temporal lobe structure (body structure),left,,,,,,,,
x,Anatomic,Brain,Temporal,Head and Neck,15,Lobe_Temporal_R,R_Temporal_Lobe,Temporal Lobe Right,72971,78277001,Temporal lobe structure (body structure),right,,,,,,,,
x,Anatomic,Lung,,Thorax,6,Lung_L,L_Lung,Lung Left,7310,39607008,Lung structure (body structure),left,,,,,,,,
x,Anatomic,Lung,,Thorax,8,Lung_LLL,LLL_Lung,Lung - lower lobe of left,7371,31094006,Structure of lobe of lung (body structure),"left, lower",,,,,,,,
x,Anatomic,Lung,,Thorax,8,Lung_LUL,LUL_Lung,Lung - upper lobe of left,7370,31094006,Structure of lobe of lung (body structure),"left, upper",,,,,,,,
x,Anatomic,Lung,,Thorax,6,Lung_R,R_Lung,Lung Right,7309,31094006,Structure of lobe of lung (body structure),right,,,,,,,,
x,Anatomic,Lung,,Thorax,8,Lung_RLL,RLL_Lung,Lung - lower lobe of right,7337,31094006,Structure of lobe of lung (body structure),"right, lower",,,,,,,,
x,Anatomic,Lung,,Thorax,8,Lung_RML,RML_Lung,Lung - middle lobe of right,7383,31094006,Structure of lobe of lung (body structure),"right, middle",,,,,,,,
x,Anatomic,Lung,,Thorax,8,Lung_RUL,RUL_Lung,Lung - upper lobe of right,7333,31094006,Structure of lobe of lung (body structure),"right, upper",,,,,,,,
x,Anatomic,Lung,,Thorax,5,Lungs,Lungs,Pair of Lungs,68877,39607008,Lung structure (body structure),"left,right",,,,,,,,
,Derived,Lung,,Thorax,9,Lungs-CTV,Lungs-CTV,Total Lung minus the CTV,,,,,,,,,,,,
,Derived,Lung,,Thorax,9,Lungs-GTV,Lungs-GTV,Total Lung minus the GTV,,,,,,,,,,,,
,Derived,Lung,,Thorax,9,Lungs-ITV,Lungs-ITV,,,,,,,,,,,,,
,Derived,Lung,,Thorax,9,Lungs-PTV,Lungs-PTV,Total Lung minus the PTV,,,,,,,,,,,,
,Anatomic,Bone,Ear,Head and Neck,7,Malleus,Malleus,Malleus,52753,34080009,Malleus structure (body structure),,,,,,,,,
x,Anatomic,Bone,Ear,Head and Neck,9,Malleus_L,L_Malleus,Malleus Left,74053,34080009,Malleus structure (body structure),,,,,,,,,
x,Anatomic,Bone,Ear,Head and Neck,9,Malleus_R,R_Malleus,Malleus Right,74052,34080009,Malleus structure (body structure),,,,,,,,,
,Non_Anatomic,Devices,,Body,7,Markers,Markers,,,,285315005 Radiotherapy planning markers (physical object),,RTTD 100521 -- Exclude,,,,,,,
,Anatomic,Bone,Maxilla,Head and Neck,7,Maxilla,Maxilla,Maxilla,9711,70925003,Bone structure of maxilla (body structure),,,,,,,,,
x,Anatomic,Bone,Maxilla,Head and Neck,9,Maxilla_L,L_Maxilla,Maxilla Left,53650,70925003,Bone structure of maxilla (body structure),,,,,,,,,
x,Anatomic,Bone,Maxilla,Head and Neck,9,Maxilla_R,R_Maxilla,Maxilla Right,53649,70925003,Bone structure of maxilla (body structure),right,,,,,,,,
,Anatomic,Eye,Orbit,Head and Neck,7,Orbit_L,L_Orbit,Orbit Left,54668,363654007,Structure of orbit proper (body structure),left,,,,,,,,
,Anatomic,Eye,Orbit,Head and Neck,7,Orbit_R,R_Orbit,Orbit Right,54667,363654007,Structure of orbit proper (body structure),right,,,,,,,,
,Anatomic,Throat,Oropharynx,Head and Neck,10,Oropharynx,Oropharynx,Oral part of pharynx,54879,31389004,Oropharyngeal structure (body structure),,,,,,,,,
x,Anatomic,Muscle,Constrictors,Head and Neck,16,Musc_Constrict_I,I_Constrict_Musc,Pharynx - Inferior pharyngeal constrictor,46623,4866005,Constrictor muscle of pharynx structure (body structure),inferior,,,,,,,,
